Index,ID,Name,Short Description,path,classification
0,T1548,Abuse Elevation Control Mechanism,An adversary can perform several methods to take advantage of built-in control mechanisms in order to escalate privileges on a system.,res://images/card_images/attack/Abuse Elevation.png,2
1,T1134,Access Token Manipulation,Adversaries may modify access tokens to operate under a different user or system security context to perform actions and bypass access controls. Windows uses access tokens to determine the ownership of a running process.,res://images/card_images/attack/Access Token Manipulation.png,2
2,T1531,Account Access Removal,"Adversaries may interrupt availability of system and network resources by inhibiting access to accounts utilized by legitimate users. Accounts may be deleted, locked, or manipulated (ex: changed credentials) to remove access to accounts. Adversaries may also subsequently log off and/or perform a System Shutdown/Reboot to set malicious changes into place.",res://images/card_images/attack/Account Access Removal.png,3
3,T1087,Account Discovery,"Adversaries may attempt to get a listing of valid accounts, usernames, or email addresses on a system or within a compromised environment. This information can help adversaries determine which accounts exist, which can aid in follow-on behavior such as brute-forcing, spear-phishing attacks, or account takeovers (e.g., Valid Accounts).",res://images/card_images/attack/Account Discovery.png,2
4,T1098,Account Manipulation,"Adversaries may manipulate accounts to maintain and/or elevate access to victim systems. Account manipulation may consist of any action that preserves or modifies adversary access to a compromised account, such as modifying credentials or permission groups.",res://images/card_images/attack/Account Manipulation.png,2
5,T1557,Adversary-in-the-Middle,"Adversaries may attempt to position themselves between two or more networked devices using an adversary-in-the-middle (AiTM) technique to support follow-on behaviors such as Network Sniffing, Transmitted Data Manipulation, or replay attacks (Exploitation for Credential Access).",res://images/card_images/attack/Adversary in the Middle.png,2
6,T1071,Application Layer Protocol,"Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",res://images/card_images/attack/Application Layer Protocol.png,2
7,T1010,Application Window Discovery,"Adversaries may attempt to get a listing of open application windows. For example, information about application windows could be used identify potential data to collect as well as identifying security tooling (Security Software Discovery) to evade.",res://images/card_images/attack/Application Windows Discovery.png,2
8,T1560,Archive Collected Data,An adversary may compress and/or encrypt data that is collected prior to exfiltration. Compressing the data can help to obfuscate the collected data and minimize the amount of data sent over the network.,res://images/card_images/attack/Archive Collected Data.png,2
9,T1123,Audio Capture,"An adversary can leverage a computer's peripheral devices (e.g., microphones and webcams) or applications (e.g., voice and video call services) to capture audio recordings for the purpose of listening into sensitive conversations to gather information.",res://images/card_images/attack/Audio Capture.png,2
10,T1119,Automated Collection,"Once established within a system or network, an adversary may use automated techniques for collecting internal data. Methods for performing this technique could include use of a Command and Scripting Interpreter to search for and copy information fitting set criteria such as file type, location, or name at specific time intervals. ",res://images/card_images/attack/Automated Collection.png,2
11,T1020,Automated Exfiltration,"Adversaries may exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection. ",res://images/card_images/attack/Automated Exfiltration.png,3
