Index,ID,Name,Description,Path
1,D3-AL,Account Locking,The process of temporarily disabling user accounts on a system or domain.,res://images/card_images/defense/Account Locking.png
5,D3-ANAA,Administrative Network Activity Analysis,Detection of unauthorized use of administrative network protocols by analyzing network activity against a baseline.,res://images/card_images/defense/Administrative Network Activity Analysis.png
6,D3-ACH,Application Configuration Hardening,Modifying an application's configuration to reduce its attack surface.,res://images/card_images/defense/Application Configuration Hardening.png
10,D3-ANCI,Authentication Cache Invalidation,Removing tokens or credentials from an authentication cache to prevent further user associated account accesses.,res://images/card_images/defense/Authentication Cache Invalidation.png
11,D3-ANET,Authentication Event Thresholding,"Collecting authentication events, creating a baseline user profile, and determining whether authentication events are consistent with the baseline profile.",res://images/card_images/defense/AuthenticationEventThreshold.png
12,D3-AZET,Authorization Event Thresholding,"Collecting authorization events, creating a baseline user profile, and determining whether authorization events are consistent with the baseline profile.",res://images/card_images/defense/AuthorizationEventThresholding.png
13,D3-BAN,Biometric Authentication,Using biological measures in order to authenticate a user.,res://images/card_images/defense/Biometric Authentication.png
14,D3-BA,Bootloader Authentication,Cryptographically authenticating the bootloader software before system boot.,res://images/card_images/defense/BootloaderAuthentication.png
15,D3-BDI,Broadcast Domain Isolation,Broadcast isolation restricts the number of computers a host can contact on their LAN.,res://images/card_images/defense/BroadcastDomainIsolation.png
16,D3-BSE,Byte Sequence Emulation,Analyzing sequences of bytes and determining if they likely represent malicious shellcode.,res://images/card_images/defense/Byte Sequence Emulation.png
17,D3-CA,Certificate Analysis,"Analyzing Public Key Infrastructure certificates to detect if they have been misconfigured or spoofed using both network traffic, certificate fields and third-party logs.",res://images/card_images/defense/Certificate Analysis.png
18,D3-CP,Certificate Pinning,Persisting either a server's X.509 certificate or their public key and comparing that to server's presented identity to allow for greater client confidence in the remote server's identity for SSL connections.,res://images/card_images/defense/Certificate Pinning.png
19,D3-CBAN,Certificate-based Authentication,Requiring a digital certificate in order to authenticate a user.,res://images/card_images/defense/Certificate-Based Authentication.png
20,D3-CSPP,Client-server Payload Profiling,Comparing client-server request and response payloads to a baseline profile to identify outliers.,res://images/card_images/defense/ClientServerPayloadProfiling.png
22,D3-CHN,Connected Honeynet,"A decoy service, system, or environment, that is connected to the enterprise network, and simulates or emulates certain functionality to the network, without exposing full access to a production system.",res://images/card_images/defense/ConnectedHoneynet.png
23,D3-CAA,Connection Attempt Analysis,Analyzing failed connections in a network to detect unauthorized activity.,res://images/card_images/defense/Connection Attempt Analysis.png
25,D3-CCSA,Credential Compromise Scope Analysis,Determining which credentials may have been compromised by analyzing the user logon history of a particular system.,res://images/card_images/defense/Credential Compromise Scope Analysis.png
27,D3-CH,Credential Hardening,Credential Hardening techniques modify system or network properties in order to protect system or network/domain credentials.,res://images/card_images/defense/Credential Revoking.png
28,D3-CR,Credential Revoking,Deleting a set of credentials permanently to prevent them from being used to authenticate.,res://images/card_images/defense/Credential Rotation.png
30,D3-CTS,Credential Transmission Scoping,Limiting the transmission of a credential to a scoped set of relying parties.,res://images/card_images/defense/Credential Transmission Scoping.png
33,D3-DQSA,Database Query String Analysis,Analyzing database queries to detect [SQL Injection](https://capec.mitre.org/data/definitions/66.html).,res://images/card_images/defense/Database Query String Analysis.png
34,D3-DCE,Dead Code Elimination,"Removing unreachable or ""dead code"" from compiled source code.",res://images/card_images/defense/DeadCodeElimination.png
36,D3-DF,Decoy File,A file created for the purposes of deceiving an adversary.,res://images/card_images/defense/Decoy File.png
37,D3-DNR,Decoy Network Resource,Deploying a network resource for the purposes of deceiving an adversary.,res://images/card_images/defense/Decoy Network Resource.png
39,D3-DP,Decoy Persona,"Establishing a fake online identity to misdirect, deceive, and or interact with adversaries.",res://images/card_images/defense/DecoyPersona.png
40,D3-DPR,Decoy Public Release,Issuing publicly released media to deceive adversaries.,res://images/card_images/defense/DecoyPublicRelease.png
41,D3-DST,Decoy Session Token,An authentication token created for the purposes of deceiving an adversary.,res://images/card_images/defense/DecoySessionToken.png
42,D3-DUC,Decoy User Credential,A Credential created for the purpose of deceiving an adversary.,res://images/card_images/defense/DecoyUserCredentials.png
43,D3-DENCR,Disk Encryption,Encrypting a hard disk partition to prevent cleartext access to a file system.,res://images/card_images/defense/DiskEncryption.png
44,D3-DNSAL,DNS Allowlisting,Permitting only approved domains and their subdomains to be resolved.,res://images/card_images/defense/DNSAllowList.png
45,D3-DNSDL,DNS Denylisting,"Blocking DNS Network Traffic based on criteria such as IP address, domain name, or DNS query type.",res://images/card_images/defense/DNSDenyList.png
46,D3-DNSTA,DNS Traffic Analysis,"Analysis of domain name metadata, including name and DNS records, to determine whether the domain is likely to resolve to an undesirable host.",res://images/card_images/defense/DNSTrafficAnalysis.png
47,D3-DAM,Domain Account Monitoring,Monitoring the existence of or changes to Domain User Accounts.,res://images/card_images/defense/DomainAccountMonitoring.png
48,D3-DNRA,Domain Name Reputation Analysis,Analyzing the reputation of a domain name.,
49,D3-DTP,Domain Trust Policy,Restricting inter-domain trust by modifying domain configuration.,res://images/card_images/defense/Domain Trust Policy.png
50,D3-DLIC,Driver Load Integrity Checking,Ensuring the integrity of drivers loaded during initialization of the operating system.,res://images/card_images/defense/Driver Load Integrity Checking.png
51,D3-DA,Dynamic Analysis,"Executing or opening a file in a synthetic ""sandbox"" environment to determine if the file is a malicious program or if the file exploits another program such as a document reader.",res://images/card_images/defense/Dynamic Analysis.png
54,D3-EFA,Emulated File Analysis,Emulating instructions in a file looking for specific patterns.,res://images/card_images/defense/EmulatedFileAnalysis.png
55,D3-ET,Encrypted Tunnels,Encrypted encapsulation of routable network traffic.,res://images/card_images/defense/Encrypted Tunnels.png
57,D3-EHPV,Exception Handler Pointer Validation,Validates that a referenced exception handler pointer is a valid exception handler.,res://images/card_images/defense/Exception Handler Pointer Validation.png
58,D3-EAL,Executable Allowlisting,Using a digital signature to authenticate a file before opening.,res://images/card_images/defense/ExecutableAllowlist.png
59,D3-EDL,Executable Denylisting,Blocking the execution of files on a host in accordance with defined application policy rules.,res://images/card_images/defense/Executable Deny List.png
60,D3-EI,Execution Isolation,"Execution Isolation techniques prevent application processes from accessing non-essential system resources, such as memory, devices, or files.",res://images/card_images/defense/File Access Pattern Analysis.png
61,D3-FAPA,File Access Pattern Analysis,Analyzing the files accessed by a process to identify unauthorized activity.,res://images/card_images/defense/File Access Pattern Analysis.png
63,D3-FC,File Carving,Identifying and extracting files from network application protocols through the use of network stream reassembly software.,res://images/card_images/defense/FileCarving.png
64,D3-FCOA,File Content Analysis,Employing a pattern matching algorithm to statically analyze the content of files.,res://images/card_images/defense/FileContentAnalysis.png
67,D3-FE,File Encryption,Encrypting a file using a cryptographic key.,res://images/card_images/defense/File Encryption.png
70,D3-FH,File Hashing,Employing file hash comparisons to detect known malware.,res://images/card_images/defense/FileHashing.png
71,D3-FIM,File Integrity Monitoring,Detecting any suspicious changes to files in a computer system.,res://images/card_images/defense/FileIntegrityMonitoring.png
72,D3-FR,File Removal,The file removal technique deletes malicious artifacts or programs from a computer system.,res://images/card_images/defense/File Removal.png
